gameId,playId,OL_C_score_sum,OL_LG_score_sum,OL_LT_score_sum,OL_RG_score_sum,OL_RT_score_sum
2017090688.0,68.0,0.0010354110473794367,-0.0011149686822581949,0.0006081027241562952,0.0027739317680452974,0.0007536371004578964
2017090688.0,94.0,,,,,
2017090688.0,118.0,,,,,
2017090688.0,139.0,,,,,
2017090688.0,160.0,,,,,
2017090688.0,189.0,,,,,
2017090688.0,210.0,,,,,
2017090688.0,395.0,,,,,
2017090688.0,427.0,,,,,
2017090688.0,449.0,,,,,
2017090688.0,473.0,,,,,
2017090688.0,494.0,,,,,
2017090688.0,516.0,,,,,
2017090688.0,629.0,,,,,
2017090688.0,680.0,,,,,
